DISTINCT REPUBLICAN KEYWORDS
Keyword: press, difference: 601
Keyword: virtual, difference: 211
Keyword: preparation, difference: 120
Keyword: toll-free, difference: 128
Keyword: provides, difference: 110
Keyword: citizen, difference: 84
Keyword: pop-up, difference: 80
Keyword: in-depth, difference: 72
Keyword: radio, difference: 57
Keyword: tv, difference: 54
Keyword: npr, difference: 63
Keyword: media, difference: 59
Keyword: potus, difference: 52
Keyword: pbs, difference: 50
Keyword: pre-register, difference: 45
Keyword: governors, difference: 43
Keyword: fake, difference: 43
Keyword: bulletin, difference: 38
Keyword: saliva, difference: 34
Keyword: livelihood, difference: 30
Keyword: productive, difference: 30
Keyword: men, difference: 25
Keyword: numerous, difference: 23
Keyword: traditional, difference: 23
Keyword: asl, difference: 21
Keyword: joined, difference: 20
Keyword: snapshot, difference: 20
Keyword: incidence, difference: 20
Keyword: rebound, difference: 17
Keyword: pillar, difference: 16
Keyword: interpretation, difference: 15
Keyword: antigen, difference: 14
Keyword: phoenix, difference: 14
Keyword: valley, difference: 13
Keyword: pcr, difference: 14
Keyword: non-profits, difference: 13
Keyword: association, difference: 13
Keyword: webinar, difference: 12
Keyword: deaf, difference: 12
Keyword: handling, difference: 10
Keyword: flotus, difference: 10
Keyword: mortality, difference: 10
Keyword: chairman, difference: 9
Keyword: inmate, difference: 9
Keyword: perspective, difference: 9
Keyword: guidelines, difference: 9
Keyword: recovered, difference: 9
