Keyword: connecticut, difference: 557
Keyword: jersey, difference: 413
Keyword: lagov, frequency: 358
Keyword: mexico, difference: 310
Keyword: beshear, frequency: 288
Keyword: louisiana, difference: 271
Keyword: lalege, frequency: 271
Keyword: kentuckians, frequency: 227
Keyword: teamkentucky, frequency: 204
Keyword: jerseyans, frequency: 159
Keyword: kentucky, frequency: 149
Keyword: delaware, difference: 140
Keyword: pennsylvania, difference: 120
Keyword: oregon, difference: 111
Keyword: illinois, difference: 108
Keyword: minnesotans, frequency: 104
Keyword: york, difference: 86
Keyword: dc, difference: 84
Keyword: kansas, difference: 83
Keyword: minnesota, difference: 76
Keyword: ny, difference: 76
Keyword: nj, difference: 75
Keyword: rt, difference: 64
Keyword: carolinians, difference: 41
Keyword: michigan, difference: 46
Keyword: wa, difference: 44
Keyword: hawaii, difference: 39
Keyword: california, difference: 19
