Keyword: ohio, difference: 661
Keyword: inthistogetherohio, frequency: 506
Keyword: la, difference: 388
Keyword: missouri, difference: 320
Keyword: arizona, difference: 321
Keyword: covid19ohioready, frequency: 320
Keyword: covid19ma, frequency: 279
Keyword: el, difference: 249
Keyword: para, difference: 184
Keyword: del, difference: 185
Keyword: wv, frequency: 200
Keyword: que, difference: 157
Keyword: wvgov, frequency: 167
Keyword: staysafeohio, frequency: 166
Keyword: azdhs, frequency: 160
Keyword: texas, difference: 153
Keyword: stayhomeohio, frequency: 132
Keyword: los, difference: 132
Keyword: alaska, difference: 147
Keyword: akgov, frequency: 146
Keyword: masksonohio, frequency: 143
Keyword: nebraska, difference: 129
Keyword: aztogether, frequency: 129
Keyword: responsiblerestartohio, frequency: 129
Keyword: dakota, difference: 121
Keyword: arkansas, difference: 121
Keyword: tennessee, difference: 116
Keyword: al, difference: 109
Keyword: arizonans, frequency: 110
Keyword: oklahoma, frequency: 107
Keyword: por, difference: 93
Keyword: con, difference: 88
Keyword: florida, difference: 71
Keyword: nd, difference: 54
Keyword: alabama, difference: 49
Keyword: wyoming, difference: 47
Keyword: georgia, difference: 46
Keyword: como, difference: 45
Keyword: esta, difference: 45
Keyword: nuestra, difference: 43
Keyword: mississippi, difference: 42
Keyword: indiana, difference: 40
Keyword: este, difference: 35
Keyword: todos, difference: 33
Keyword: su, difference: 34
Keyword: un, difference: 29
Keyword: medidas, difference: 29
Keyword: es, difference: 28
Keyword: salud, difference: 27
Keyword: pandemia, difference: 27
Keyword: tn, difference: 26
Keyword: puerto, difference: 25
Keyword: rico, difference: 25
Keyword: respuesta, difference: 23
Keyword: isla, difference: 24
Keyword: junto, difference: 22
Keyword: ahora, difference: 20
Keyword: ayudar, difference: 20
Keyword: trabajando, difference: 20
Keyword: ar, difference: 19
Keyword: maryland, difference: 17
Keyword: contra, difference: 17
Keyword: secazar, difference: 18
Keyword: estos, difference: 17
Keyword: casos, difference: 17
Keyword: pueden, difference: 15
Keyword: gente, difference: 16
Keyword: sus, difference: 15
Keyword: phoenix, difference: 14
Keyword: pruebas, difference: 13
Keyword: cada, difference: 11
Keyword: médicos, difference: 11
Keyword: seguridad, difference: 10
Keyword: primera, difference: 10
Keyword: prueba, difference: 10
Keyword: mañana, difference: 9
