DISTINCT DEMOCRATIC KEYWORDS
Keyword: total, difference: 1277
Keyword: positive, difference: 1106
Keyword: death, difference: 720
Keyword: statewide, difference: 583
Keyword: lose, difference: 454
Keyword: bring, difference: 421
Keyword: hospitalize, difference: 328
Keyword: currently, difference: 279
Keyword: sadly, difference: 319
Keyword: trump, difference: 266
Keyword: district, difference: 223
Keyword: togetherky, frequency: 224
Keyword: push, difference: 196
Keyword: positivity, difference: 174
Keyword: holding, difference: 183
Keyword: fatality, difference: 176
Keyword: die, difference: 140
Keyword: cooper, difference: 150
Keyword: cumulative, difference: 137
Keyword: happening, difference: 122
Keyword: donald, difference: 110
Keyword: andy, difference: 107
Keyword: leave, difference: 88
Keyword: covid-related, difference: 98
Keyword: edwards, difference: 91
Keyword: essex, difference: 89
Keyword: hudson, difference: 87
Keyword: cape, difference: 77
Keyword: overall, difference: 72
Keyword: violence, difference: 76
Keyword: five, difference: 68
Keyword: await, difference: 69
Keyword: fell, difference: 68
Keyword: intensive, difference: 66
Keyword: middle, difference: 59
Keyword: eviction, difference: 56
Keyword: isolation, difference: 57
Keyword: deserve, difference: 52
Keyword: yorkers, difference: 60
Keyword: fail, difference: 56
Keyword: sample, difference: 50
Keyword: complication, difference: 53
Keyword: discharge, difference: 51
Keyword: newly, difference: 48
Keyword: court, difference: 41
Keyword: affordable, difference: 45
Keyword: tracer, difference: 40
Keyword: mourn, difference: 44
Keyword: price, difference: 42
Keyword: updates, difference: 42
Keyword: color, difference: 40
Keyword: green, difference: 36
Keyword: breaking, difference: 38
Keyword: disparity, difference: 37
Keyword: alone, difference: 29
Keyword: wave, difference: 31
Keyword: supreme, difference: 31
Keyword: guam, difference: 34
Keyword: political, difference: 29
Keyword: providing, difference: 30
Keyword: stations, difference: 32
Keyword: ignore, difference: 27
Keyword: maskup, difference: 30
Keyword: seven, difference: 27
Keyword: pain, difference: 29
Keyword: racial, difference: 28
Keyword: tested, difference: 27
Keyword: truth, difference: 26
Keyword: island, difference: 24
Keyword: nine, difference: 23
Keyword: promise, difference: 24
Keyword: failure, difference: 23
Keyword: census, difference: 23
Keyword: rebuild, difference: 22
Keyword: heartbreaking, difference: 23
Keyword: aj, difference: 21
Keyword: keeping, difference: 21
Keyword: tracker, difference: 22
Keyword: danger, difference: 20
Keyword: climate, difference: 21
Keyword: voice, difference: 20
Keyword: grieve, difference: 21
Keyword: pending, difference: 18
Keyword: wildfire, difference: 20
Keyword: single-day, difference: 20
Keyword: moratorium, difference: 19
Keyword: calm, difference: 17
Keyword: side, difference: 17
Keyword: anderson, difference: 17
Keyword: thankfully, difference: 17
Keyword: mother, difference: 17
Keyword: asian, difference: 17
Keyword: reform, difference: 16
Keyword: tropical, difference: 15
Keyword: tragedy, difference: 15
Keyword: warn, difference: 16
Keyword: bruce, difference: 15
Keyword: compassionate, difference: 14
Keyword: opt, difference: 14
Keyword: tire, difference: 15
Keyword: enrollment, difference: 14
Keyword: heat, difference: 13
Keyword: cast, difference: 13
Keyword: elect, difference: 13
Keyword: restore, difference: 13
Keyword: excuse, difference: 13
Keyword: fatigue, difference: 13
Keyword: brother, difference: 13
Keyword: parish, difference: 13
Keyword: prescription, difference: 13
Keyword: twice, difference: 13
Keyword: disproportionate, difference: 13
Keyword: inequality, difference: 13
Keyword: shooting, difference: 12
Keyword: situational, difference: 11
Keyword: gives, difference: 11
Keyword: counsel, difference: 11
Keyword: actively, difference: 11
Keyword: mask-wearing, difference: 11
Keyword: widely, difference: 11
Keyword: edt, difference: 11
Keyword: hotel, difference: 11
Keyword: grim, difference: 10
Keyword: colleague, difference: 10
Keyword: monthly, difference: 10
Keyword: freeze, difference: 10
Keyword: unconscionable, difference: 10
Keyword: accountable, difference: 10
Keyword: outdoors, difference: 9
Keyword: passing, difference: 9
Keyword: disappear, difference: 9
Keyword: cure, difference: 9
Keyword: seriousness, difference: 9
Keyword: nw, difference: 9
