DISTINCT REPUBLICAN KEYWORDS
Keyword: press, difference: 601
Keyword: ohio, difference: 661
Keyword: inthistogetherohio, frequency: 506
Keyword: la, difference: 388
Keyword: missouri, difference: 320
Keyword: arizona, difference: 321
Keyword: covid19ohioready, frequency: 320
Keyword: covid19ma, frequency: 279
Keyword: el, difference: 249
Keyword: virtual, difference: 211
Keyword: para, difference: 184
Keyword: del, difference: 185
Keyword: wv, frequency: 200
Keyword: que, difference: 157
Keyword: wvgov, frequency: 167
Keyword: staysafeohio, frequency: 166
Keyword: azdhs, frequency: 160
Keyword: texas, difference: 153
Keyword: los, difference: 132
Keyword: hutchinson, frequency: 149
Keyword: alaska, difference: 147
Keyword: south, difference: 137
Keyword: akgov, frequency: 146
Keyword: realdonaldtrump, difference: 125
Keyword: masksonohio, frequency: 143
Keyword: preparation, difference: 120
Keyword: stayhomeohio, frequency: 132
Keyword: nebraska, difference: 129
Keyword: toll-free, difference: 128
Keyword: aztogether, frequency: 129
Keyword: responsiblerestartohio, frequency: 129
Keyword: west, difference: 121
Keyword: dakota, difference: 121
Keyword: arkansas, difference: 121
Keyword: tennessee, difference: 116
Keyword: al, difference: 109
Keyword: provides, difference: 110
Keyword: arizonans, frequency: 110
Keyword: alpolitics, frequency: 108
Keyword: oklahoma, frequency: 107
Keyword: ricketts, frequency: 103
Keyword: gapol, frequency: 101
Keyword: citizen, difference: 84
Keyword: por, difference: 93
Keyword: con, difference: 88
Keyword: pop-up, difference: 80
Keyword: florida, difference: 71
Keyword: in-depth, difference: 72
Keyword: radio, difference: 57
Keyword: tv, difference: 54
Keyword: npr, difference: 63
Keyword: media, difference: 59
Keyword: potus, difference: 52
Keyword: nd, difference: 54
Keyword: alabama, difference: 49
Keyword: pbs, difference: 50
Keyword: pre-register, difference: 45
Keyword: wyoming, difference: 47
Keyword: como, difference: 45
Keyword: georgia, difference: 46
Keyword: esta, difference: 45
Keyword: governors, difference: 43
Keyword: inthistogether, difference: 46
Keyword: nuestra, difference: 43
Keyword: fake, difference: 43
Keyword: caresact, difference: 39
Keyword: mississippi, difference: 42
Keyword: indiana, difference: 40
Keyword: este, difference: 35
Keyword: bulletin, difference: 38
Keyword: ohdeptofhealth, difference: 38
Keyword: todos, difference: 33
Keyword: su, difference: 34
Keyword: saliva, difference: 34
Keyword: slowthespread, difference: 34
Keyword: livelihood, difference: 30
Keyword: williams, difference: 32
Keyword: productive, difference: 30
Keyword: un, difference: 29
Keyword: es, difference: 28
Keyword: ak, difference: 30
Keyword: salud, difference: 27
Keyword: men, difference: 25
Keyword: medidas, difference: 29
Keyword: hhsgov, difference: 25
Keyword: pandemia, difference: 27
Keyword: puerto, difference: 25
Keyword: rico, difference: 25
Keyword: tn, difference: 26
Keyword: numerous, difference: 23
Keyword: respuesta, difference: 23
Keyword: isla, difference: 24
Keyword: traditional, difference: 23
Keyword: junto, difference: 22
Keyword: ahora, difference: 20
Keyword: scott, difference: 20
Keyword: louis, difference: 21
Keyword: asl, difference: 21
Keyword: joined, difference: 20
Keyword: snapshot, difference: 20
Keyword: incidence, difference: 20
Keyword: ayudar, difference: 20
Keyword: ar, difference: 19
Keyword: sandy, difference: 19
Keyword: han, difference: 20
Keyword: trabajando, difference: 20
Keyword: harris, difference: 18
Keyword: rebound, difference: 17
Keyword: maryland, difference: 17
Keyword: contra, difference: 17
Keyword: secazar, difference: 18
Keyword: estos, difference: 17
Keyword: casos, difference: 17
Keyword: pillar, difference: 16
Keyword: deborah, difference: 15
Keyword: pueden, difference: 15
Keyword: gente, difference: 16
Keyword: interpretation, difference: 15
Keyword: remdesivir, difference: 15
Keyword: antigen, difference: 14
Keyword: sus, difference: 15
Keyword: phoenix, difference: 14
Keyword: valley, difference: 13
Keyword: pcr, difference: 14
Keyword: non-profits, difference: 13
Keyword: pruebas, difference: 13
Keyword: association, difference: 13
Keyword: amenaza, difference: 13
Keyword: webinar, difference: 12
Keyword: deaf, difference: 12
Keyword: hogan, difference: 11
Keyword: cada, difference: 11
Keyword: médicos, difference: 11
Keyword: seguridad, difference: 10
Keyword: antonio, difference: 10
Keyword: primera, difference: 10
Keyword: handling, difference: 10
Keyword: prueba, difference: 10
Keyword: flotus, difference: 10
Keyword: mortality, difference: 10
Keyword: hamilton, difference: 9
Keyword: mañana, difference: 9
Keyword: chairman, difference: 9
Keyword: inmate, difference: 9
Keyword: perspective, difference: 9
Keyword: guidelines, difference: 9
Keyword: recovered, difference: 9
